window_size,confirm_frames,prompt_word,tester,location,lighting,predicted_text,correct,error_notes
3,30,HELLO,,,,,,
3,30,WORLD,,,,,,
3,30,SIGN,,,,,,
3,30,CLASS,,,,,,
3,30,TEXAS,,,,,,
3,40,HELLO,,,,,,
3,40,WORLD,,,,,,
3,40,SIGN,,,,,,
3,40,CLASS,,,,,,
3,40,TEXAS,,,,,,
3,60,HELLO,,,,,,
3,60,WORLD,,,,,,
3,60,SIGN,,,,,,
3,60,CLASS,,,,,,
3,60,TEXAS,,,,,,
5,30,HELLO,,,,,,
5,30,WORLD,,,,,,
5,30,SIGN,,,,,,
5,30,CLASS,,,,,,
5,30,TEXAS,,,,,,
5,40,HELLO,,,,,,
5,40,WORLD,,,,,,
5,40,SIGN,,,,,,
5,40,CLASS,,,,,,
5,40,TEXAS,,,,,,
5,60,HELLO,,,,,,
5,60,WORLD,,,,,,
5,60,SIGN,,,,,,
5,60,CLASS,,,,,,
5,60,TEXAS,,,,,,
7,30,HELLO,,,,,,
7,30,WORLD,,,,,,
7,30,SIGN,,,,,,
7,30,CLASS,,,,,,
7,30,TEXAS,,,,,,
7,40,HELLO,,,,,,
7,40,WORLD,,,,,,
7,40,SIGN,,,,,,
7,40,CLASS,,,,,,
7,40,TEXAS,,,,,,
7,60,HELLO,,,,,,
7,60,WORLD,,,,,,
7,60,SIGN,,,,,,
7,60,CLASS,,,,,,
7,60,TEXAS,,,,,,
10,30,HELLO,,,,,,
10,30,WORLD,,,,,,
10,30,SIGN,,,,,,
10,30,CLASS,,,,,,
10,30,TEXAS,,,,,,
10,40,HELLO,,,,,,
10,40,WORLD,,,,,,
10,40,SIGN,,,,,,
10,40,CLASS,,,,,,
10,40,TEXAS,,,,,,
10,60,HELLO,,,,,,
10,60,WORLD,,,,,,
10,60,SIGN,,,,,,
10,60,CLASS,,,,,,
10,60,TEXAS,,,,,,
